Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,4000.000000,4000.000000,4000.000000,4000.000000,2999.370361,0
2018-01-02,3987.500000,4025.000000,3912.500000,3925.000000,2943.132324,59351600
2018-01-03,3925.000000,3925.000000,3825.000000,3850.000000,2886.894287,84278000
2018-01-04,3875.000000,3912.500000,3862.500000,3912.500000,2933.759277,90123000
2018-01-05,3862.500000,3925.000000,3862.500000,3912.500000,2933.759277,75378600
2018-01-08,3937.500000,3975.000000,3912.500000,3962.500000,2971.251465,73784000
2018-01-09,3987.500000,4000.000000,3887.500000,3950.000000,2961.878906,67352000
2018-01-10,3962.500000,3962.500000,3900.000000,3950.000000,2961.878906,68746400
2018-01-11,3962.500000,4037.500000,3962.500000,4037.500000,3027.489746,89346200
2018-01-12,4037.500000,4125.000000,4000.000000,4050.000000,3036.862549,84306400
2018-01-15,4075.000000,4100.000000,4025.000000,4100.000000,3074.354980,38412200
2018-01-16,4075.000000,4150.000000,4075.000000,4112.500000,3083.727783,46720000
2018-01-17,4112.500000,4112.500000,4012.500000,4050.000000,3036.862549,56945400
2018-01-18,4075.000000,4087.500000,4025.000000,4062.500000,3046.235840,53685800
2018-01-19,4087.500000,4087.500000,4025.000000,4037.500000,3027.489746,50158600
2018-01-22,4075.000000,4075.000000,4025.000000,4037.500000,3027.489746,91243800
2018-01-23,4087.500000,4087.500000,4037.500000,4087.500000,3064.981934,111192600
2018-01-24,4100.000000,4125.000000,4075.000000,4125.000000,3093.101074,84633200
2018-01-25,4125.000000,4137.500000,4037.500000,4075.000000,3055.608887,65155800
2018-01-26,4100.000000,4125.000000,4062.500000,4100.000000,3074.354980,69599800
2018-01-29,4112.500000,4125.000000,3950.000000,4087.500000,3064.981934,101413600
2018-01-30,4037.500000,4050.000000,3987.500000,4025.000000,3018.116699,102154200
2018-01-31,3987.500000,4087.500000,3975.000000,4075.000000,3055.608887,79788400
2018-02-01,4100.000000,4125.000000,4062.500000,4100.000000,3074.354980,72274400
2018-02-02,4100.000000,4112.500000,4062.500000,4062.500000,3046.235840,60042800
2018-02-05,4025.000000,4075.000000,3987.500000,4062.500000,3046.235840,63620600
2018-02-06,4000.000000,4050.000000,3962.500000,4012.500000,3008.743652,92415600
2018-02-07,4050.000000,4075.000000,4037.500000,4062.500000,3046.235840,57427400
2018-02-08,4100.000000,4125.000000,4025.000000,4087.500000,3064.981934,79067200
2018-02-09,4037.500000,4112.500000,4025.000000,4112.500000,3083.727783,211953600
2018-02-12,4112.500000,4125.000000,4037.500000,4100.000000,3074.354980,72517000
2018-02-13,4100.000000,4150.000000,4100.000000,4137.500000,3102.473877,75870600
2018-02-14,4150.000000,4162.500000,4112.500000,4150.000000,3111.846924,26730800
2018-02-15,4187.500000,4187.500000,4075.000000,4150.000000,3111.846924,65557000
2018-02-16,4150.000000,4150.000000,4150.000000,4150.000000,3111.846924,0
2018-02-19,4175.000000,4237.500000,4137.500000,4237.500000,3177.458496,49342200
2018-02-20,4262.500000,4525.000000,4212.500000,4525.000000,3393.038086,79298400
2018-02-21,4450.000000,4462.500000,4375.000000,4400.000000,3299.307617,83845600
2018-02-22,4437.500000,4437.500000,4287.500000,4312.500000,3233.696533,39301400
2018-02-23,4287.500000,4350.000000,4250.000000,4275.000000,3205.577637,62711800
2018-02-26,4300.000000,4300.000000,4150.000000,4150.000000,3111.846924,66541400
2018-02-27,4212.500000,4262.500000,4162.500000,4212.500000,3158.712158,92994400
2018-02-28,4237.500000,4237.500000,4150.000000,4150.000000,3111.846924,81356600
2018-03-01,4200.000000,4225.000000,4162.500000,4187.500000,3139.965820,50682200
2018-03-02,4162.500000,4237.500000,4112.500000,4237.500000,3177.458496,49761400
2018-03-05,4187.500000,4212.500000,4100.000000,4112.500000,3083.727783,44376600
2018-03-06,4137.500000,4150.000000,4000.000000,4025.000000,3018.116699,77337000
2018-03-07,4012.500000,4062.500000,3850.000000,3962.500000,2971.251465,116997600
2018-03-08,4000.000000,4087.500000,4000.000000,4050.000000,3036.862549,86635600
2018-03-09,4025.000000,4087.500000,4000.000000,4050.000000,3036.862549,46391000
2018-03-12,4100.000000,4162.500000,4075.000000,4162.500000,3121.220215,78310600
2018-03-13,4112.500000,4137.500000,4025.000000,4087.500000,3064.981934,79622600
2018-03-14,4112.500000,4112.500000,3987.500000,4100.000000,3074.354980,41997000
2018-03-15,4087.500000,4087.500000,4000.000000,4000.000000,2999.370361,66507000
2018-03-16,3950.000000,3975.000000,3850.000000,3962.500000,2971.251465,155572000
2018-03-19,4012.500000,4062.500000,3962.500000,4037.500000,3027.489746,95158400
2018-03-20,3975.000000,4075.000000,3925.000000,4050.000000,3036.862549,77864800
2018-03-21,4100.000000,4112.500000,4050.000000,4100.000000,3074.354980,113297400
2018-03-22,4125.000000,4125.000000,3975.000000,4000.000000,2999.370361,183372000
2018-03-23,3900.000000,4025.000000,3850.000000,4025.000000,3176.150635,90662600
2018-03-26,3925.000000,4037.500000,3925.000000,4037.500000,3186.014404,42673400
2018-03-27,4062.500000,4075.000000,3975.000000,4000.000000,3156.422852,55450200
2018-03-28,3975.000000,3987.500000,3862.500000,3900.000000,3077.512451,76203200
2018-03-29,3825.000000,3837.500000,3762.500000,3837.500000,3107.484131,78477600
2018-03-30,3837.500000,3837.500000,3837.500000,3837.500000,3107.484131,0
2018-04-02,3787.500000,3912.500000,3787.500000,3912.500000,3168.216553,31435200
2018-04-03,3862.500000,3900.000000,3837.500000,3900.000000,3158.094727,47967200
2018-04-04,3912.500000,3912.500000,3775.000000,3800.000000,3077.117920,38287200
2018-04-05,3875.000000,3875.000000,3762.500000,3825.000000,3097.361816,54709000
2018-04-06,3775.000000,3812.500000,3750.000000,3775.000000,3056.873291,45831200
2018-04-09,3825.000000,3825.000000,3750.000000,3787.500000,3066.995605,32505800
2018-04-10,3775.000000,3937.500000,3775.000000,3937.500000,3188.460938,87487000
2018-04-11,3975.000000,4037.500000,3962.500000,4025.000000,3259.315430,58578400
2018-04-12,4000.000000,4012.500000,3925.000000,4012.500000,3249.193115,56053600
2018-04-13,4050.000000,4050.000000,3962.500000,4012.500000,3249.193115,33896200
2018-04-16,4012.500000,4012.500000,4012.500000,4012.500000,3249.193115,0
2018-04-17,4012.500000,4012.500000,4012.500000,4012.500000,3249.193115,0
2018-04-18,3975.000000,4025.000000,3950.000000,4025.000000,3259.315430,28595200
2018-04-19,4025.000000,4025.000000,4025.000000,4025.000000,3259.315430,0
2018-04-20,4025.000000,4025.000000,4025.000000,4025.000000,3259.315430,0
2018-04-23,3937.500000,4000.000000,3925.000000,4000.000000,3239.071289,62793000
2018-04-24,4000.000000,4000.000000,3862.500000,3862.500000,3127.728027,49193400
