Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,2300.000000,2337.500000,2268.750000,2312.500000,1651.438965,60667600
2016-01-05,2312.500000,2387.500000,2312.500000,2343.750000,1673.755737,106152400
2016-01-06,2362.500000,2381.250000,2337.500000,2337.500000,1669.292480,106147600
2016-01-07,2287.500000,2312.500000,2275.000000,2275.000000,1624.658936,92196400
2016-01-08,2275.000000,2318.750000,2275.000000,2318.750000,1655.902466,97109200
2016-01-11,2275.000000,2287.500000,2250.000000,2275.000000,1624.658936,62974000
2016-01-12,2300.000000,2318.750000,2275.000000,2300.000000,1642.512329,77847200
2016-01-13,2318.750000,2362.500000,2300.000000,2337.500000,1669.292480,132198400
2016-01-14,2275.000000,2368.750000,2275.000000,2337.500000,1669.292480,120844000
2016-01-15,2337.500000,2356.250000,2318.750000,2318.750000,1655.902466,41635600
2016-01-18,2312.500000,2331.250000,2312.500000,2318.750000,1655.902466,61618000
2016-01-19,2306.250000,2350.000000,2306.250000,2343.750000,1673.755737,33891200
2016-01-20,2331.250000,2350.000000,2325.000000,2331.250000,1664.829224,111518800
2016-01-21,2331.250000,2343.750000,2312.500000,2325.000000,1660.366089,111117200
2016-01-22,2325.000000,2350.000000,2318.750000,2343.750000,1673.755737,102318000
2016-01-25,2350.000000,2387.500000,2343.750000,2381.250000,1700.536011,52867200
2016-01-26,2362.500000,2387.500000,2356.250000,2381.250000,1700.536011,68705200
2016-01-27,2387.500000,2400.000000,2362.500000,2387.500000,1704.999146,97861600
2016-01-28,2387.500000,2387.500000,2356.250000,2375.000000,1696.072632,84751600
2016-01-29,2375.000000,2400.000000,2356.250000,2400.000000,1713.925903,118885600
2016-02-01,2400.000000,2412.500000,2343.750000,2406.250000,1718.389282,73618400
2016-02-02,2393.750000,2400.000000,2350.000000,2375.000000,1696.072632,50634000
2016-02-03,2350.000000,2356.250000,2337.500000,2343.750000,1673.755737,62028400
2016-02-04,2368.750000,2443.750000,2350.000000,2400.000000,1713.925903,176216000
2016-02-05,2400.000000,2600.000000,2400.000000,2587.500000,1847.826538,244064000
2016-02-09,2550.000000,2568.750000,2512.500000,2512.500000,1794.266235,56263200
2016-02-10,2500.000000,2525.000000,2450.000000,2456.250000,1754.096191,56126000
2016-02-11,2456.250000,2506.250000,2456.250000,2500.000000,1785.339478,144164400
2016-02-12,2475.000000,2487.500000,2412.500000,2431.250000,1736.242798,136429600
2016-02-15,2450.000000,2456.250000,2431.250000,2450.000000,1749.632568,110414800
2016-02-16,2456.250000,2462.500000,2431.250000,2437.500000,1740.706177,90171200
2016-02-17,2431.250000,2450.000000,2418.750000,2425.000000,1731.779297,103568000
2016-02-18,2443.750000,2468.750000,2425.000000,2431.250000,1736.242798,205636800
2016-02-19,2368.750000,2368.750000,2300.000000,2325.000000,1660.366089,381658000
2016-02-22,2306.250000,2368.750000,2306.250000,2350.000000,1678.219360,122025200
2016-02-23,2312.500000,2343.750000,2293.750000,2312.500000,1651.438965,78939200
2016-02-24,2337.500000,2375.000000,2318.750000,2350.000000,1678.219360,76399200
2016-02-25,2350.000000,2362.500000,2312.500000,2331.250000,1664.829224,59981600
