Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,8000.000000,8000.000000,8000.000000,8000.000000,6469.995605,0
2018-01-02,7975.000000,8050.000000,7825.000000,7850.000000,6348.683594,29675800
2018-01-03,7850.000000,7850.000000,7650.000000,7700.000000,6227.371094,42139000
2018-01-04,7750.000000,7825.000000,7725.000000,7825.000000,6328.464355,45061500
2018-01-05,7725.000000,7850.000000,7725.000000,7825.000000,6328.464355,37689300
2018-01-08,7875.000000,7950.000000,7825.000000,7925.000000,6409.339844,36892000
2018-01-09,7975.000000,8000.000000,7775.000000,7900.000000,6389.121094,33676000
2018-01-10,7925.000000,7925.000000,7800.000000,7900.000000,6389.121094,34373200
2018-01-11,7925.000000,8075.000000,7925.000000,8075.000000,6530.651855,44673100
2018-01-12,8075.000000,8250.000000,8000.000000,8100.000000,6550.870605,42153200
2018-01-15,8150.000000,8200.000000,8050.000000,8200.000000,6631.746094,19206100
2018-01-16,8150.000000,8300.000000,8150.000000,8225.000000,6651.964844,23360000
2018-01-17,8225.000000,8225.000000,8025.000000,8100.000000,6550.870605,28472700
2018-01-18,8150.000000,8175.000000,8050.000000,8125.000000,6571.089355,26842900
2018-01-19,8175.000000,8175.000000,8050.000000,8075.000000,6530.651855,25079300
2018-01-22,8150.000000,8150.000000,8050.000000,8075.000000,6530.651855,45621900
2018-01-23,8175.000000,8175.000000,8075.000000,8175.000000,6611.527344,55596300
2018-01-24,8200.000000,8250.000000,8150.000000,8250.000000,6672.183594,42316600
2018-01-25,8250.000000,8275.000000,8075.000000,8150.000000,6591.308105,32577900
2018-01-26,8200.000000,8250.000000,8125.000000,8200.000000,6631.746094,34799900
2018-01-29,8225.000000,8250.000000,7900.000000,8175.000000,6611.527344,50706800
2018-01-30,8075.000000,8100.000000,7975.000000,8050.000000,6510.433594,51077100
2018-01-31,7975.000000,8175.000000,7950.000000,8150.000000,6591.308105,39894200
2018-02-01,8200.000000,8250.000000,8125.000000,8200.000000,6631.746094,36137200
2018-02-02,8200.000000,8225.000000,8125.000000,8125.000000,6571.089355,30021400
2018-02-05,8050.000000,8150.000000,7975.000000,8125.000000,6571.089355,31810300
2018-02-06,8000.000000,8100.000000,7925.000000,8025.000000,6490.214355,46207800
2018-02-07,8100.000000,8150.000000,8075.000000,8125.000000,6571.089355,28713700
